stuFirstName,stuLastName,studentID,semester,courses1,grade1,courses2,grade2,courses3,grade3,courses4,grade4,courses5,grade5,courses6,grade6,GPA
Adeline,Jecks,104-45-5356,Spring 2020,CS 4303 - Programming Language Concepts,C,CS 4318 - Database Systems,C,CS 3306 - Introduction to Theory of Computation,A,CS 4315 - Operating Systems,F,CS 2301 - Introduction to Computer Organization,A,MATH 2305 - Discrete Mathematical Structures,A,
Paten,Tudhope,363-02-8624,Spring 2020,CS 4318 - Database Systems,B,MATH 2305 - Discrete Mathematical Structures,A,CS 1410 - CS I-Introduction to Computer Science with C++,D,MATH 2402 - Calculus II,C,MATH 2305 - Discrete Mathematical Structures,D,CS 3304 - Data and Information Structures,A,
Lita,Exall,179-13-5834,Spring 2020,MATH 2402 - Calculus II,D,MATH 2401 - Calculus I,A,CS 3304 - Data and Information Structures,B,MATH 2307 - Linear Algebra,A,STAT 3311 - Statistical Analysis for Natural Science,B,CS 3306 - Introduction to Theory of Computation,B,
Dionisio,Roylance,530-53-1755,Spring 2020,CS 3304 - Data and Information Structures,F,MATH 2305 - Discrete Mathematical Structures,B,STAT 3311 - Statistical Analysis for Natural Science,C,CS 4294 - Senior Seminar,F,CS 4315 - Operating Systems,C,CS 2302 - Digital Logic,A,
Josepha,Jobson,495-97-6378,Spring 2020,CS 3321 - Software Engineering,D,CS 4395 - Senior Project in Computer Science,B,MATH 2402 - Calculus II,F,CS 4318 - Database Systems,A,CS 2302 - Digital Logic,A,CS 4315 - Operating Systems,D,
Lissy,De Witt,172-70-4737,Spring 2020,STAT 3311 - Statistical Analysis for Natural Science,D,CS 4303 - Programming Language Concepts,B,CS 2301 - Introduction to Computer Organization,B,STAT 3311 - Statistical Analysis for Natural Science,C,CS 2302 - Digital Logic,A,MATH 3302 - Probability and Statistics,F,
Fredrick,Jaffray,246-71-8204,Spring 2020,CS 2302 - Digital Logic,B,CS 4395 - Senior Project in Computer Science,C,CS 3304 - Data and Information Structures,A,MATH 2402 - Calculus II,D,CS 3306 - Introduction to Theory of Computation,D,CS 2302 - Digital Logic,C,
Cassey,Megroff,575-66-1788,Spring 2020,CS 4303 - Programming Language Concepts,B,CS 2301 - Introduction to Computer Organization,B,MATH 3302 - Probability and Statistics,B,MATH 2305 - Discrete Mathematical Structures,B,MATH 2305 - Discrete Mathematical Structures,B,MATH 2401 - Calculus I,F,
Aurilia,Ronaghan,512-25-7421,Spring 2020,CS 3304 - Data and Information Structures,B,MATH 2305 - Discrete Mathematical Structures,C,MATH 2305 - Discrete Mathematical Structures,B,CS 2302 - Digital Logic,D,CS 4395 - Senior Project in Computer Science,F,CS 3304 - Data and Information Structures,A,
Catherin,Blanket,577-72-3299,Spring 2020,STAT 3311 - Statistical Analysis for Natural Science,A,MATH 2307 - Linear Algebra,F,MATH 2307 - Linear Algebra,C,CS 1410 - CS I-Introduction to Computer Science with C++,B,CS 3321 - Software Engineering,F,CS 1410 - CS I-Introduction to Computer Science with C++,B,
Tripp,Falks,155-17-8647,Spring 2020,MATH 3302 - Probability and Statistics,A,CS 3306 - Introduction to Theory of Computation,A,MATH 2402 - Calculus II,A,MATH 2401 - Calculus I,A,CS 4294 - Senior Seminar,A,CS 4318 - Database Systems,B,
Nyssa,Bardwall,432-64-6968,Spring 2020,MATH 2401 - Calculus I,A,CS 4303 - Programming Language Concepts,A,CS 3321 - Software Engineering,B,CS 4315 - Operating Systems,C,MATH 2401 - Calculus I,B,MATH 3302 - Probability and Statistics,F,
Napoleon,Powell,871-16-3379,Spring 2020,CS 2301 - Introduction to Computer Organization,D,STAT 3311 - Statistical Analysis for Natural Science,C,MATH 3302 - Probability and Statistics,C,CS 4315 - Operating Systems,A,CS 4318 - Database Systems,D,STAT 3311 - Statistical Analysis for Natural Science,B,
Ellie,Oris,670-61-9446,Spring 2020,CS 4395 - Senior Project in Computer Science,A,MATH 3302 - Probability and Statistics,D,CS 2301 - Introduction to Computer Organization,A,STAT 3311 - Statistical Analysis for Natural Science,A,CS 4294 - Senior Seminar,B,CS 1410 - CS I-Introduction to Computer Science with C++,A,
Kimbell,Blemings,578-65-4439,Spring 2020,MATH 3302 - Probability and Statistics,B,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,CS 3304 - Data and Information Structures,B,MATH 2402 - Calculus II,C,CS 4315 - Operating Systems,D,MATH 2401 - Calculus I,B,
Theo,Marusik,741-09-8505,Spring 2020,CS 2301 - Introduction to Computer Organization,B,MATH 2402 - Calculus II,A,CS 4395 - Senior Project in Computer Science,D,CS 4315 - Operating Systems,C,CS 4395 - Senior Project in Computer Science,C,MATH 2305 - Discrete Mathematical Structures,B,
Joann,Lackney,448-84-1288,Spring 2020,CS 4303 - Programming Language Concepts,A,CS 3321 - Software Engineering,C,CS 1410 - CS I-Introduction to Computer Science with C++,A,MATH 2402 - Calculus II,B,CS 2410 - CS II-Introduction to Data Structures and Algorithms,D,CS 2410 - CS II-Introduction to Data Structures and Algorithms,A,
Rosalynd,Tilberry,278-06-2913,Spring 2020,CS 3306 - Introduction to Theory of Computation,C,MATH 3302 - Probability and Statistics,D,STAT 3311 - Statistical Analysis for Natural Science,B,CS 4294 - Senior Seminar,B,MATH 2401 - Calculus I,A,MATH 2401 - Calculus I,B,
Beckie,Fragino,271-40-1013,Spring 2020,CS 4315 - Operating Systems,A,CS 4395 - Senior Project in Computer Science,C,CS 4294 - Senior Seminar,D,CS 2301 - Introduction to Computer Organization,B,CS 1410 - CS I-Introduction to Computer Science with C++,C,MATH 2401 - Calculus I,A,
Barnebas,Primmer,572-45-3104,Spring 2020,CS 2302 - Digital Logic,D,MATH 2307 - Linear Algebra,A,MATH 2307 - Linear Algebra,C,CS 4294 - Senior Seminar,D,CS 2301 - Introduction to Computer Organization,A,CS 2301 - Introduction to Computer Organization,A,
Mavis,Ower,632-86-7858,Spring 2020,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,CS 3306 - Introduction to Theory of Computation,C,CS 3304 - Data and Information Structures,B,MATH 2305 - Discrete Mathematical Structures,C,CS 3321 - Software Engineering,B,CS 4395 - Senior Project in Computer Science,D,
Gray,Shellum,375-82-2310,Spring 2020,CS 3304 - Data and Information Structures,D,CS 4294 - Senior Seminar,B,MATH 2401 - Calculus I,C,CS 3304 - Data and Information Structures,F,CS 1410 - CS I-Introduction to Computer Science with C++,A,CS 4395 - Senior Project in Computer Science,B,
Sadie,Creagh,336-42-8025,Spring 2020,STAT 3311 - Statistical Analysis for Natural Science,A,MATH 3302 - Probability and Statistics,A,CS 4318 - Database Systems,A,MATH 3302 - Probability and Statistics,B,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,STAT 3311 - Statistical Analysis for Natural Science,C,
Vidovic,Records,438-06-2346,Spring 2020,CS 4395 - Senior Project in Computer Science,F,MATH 2402 - Calculus II,D,MATH 2305 - Discrete Mathematical Structures,D,MATH 2305 - Discrete Mathematical Structures,B,CS 2302 - Digital Logic,B,CS 3321 - Software Engineering,C,
Kenny,Mulder,425-47-2893,Spring 2020,CS 3304 - Data and Information Structures,A,CS 4395 - Senior Project in Computer Science,B,CS 4318 - Database Systems,A,CS 4315 - Operating Systems,A,CS 2301 - Introduction to Computer Organization,C,CS 2301 - Introduction to Computer Organization,D,
Arlena,Rahlof,183-38-5494,Spring 2020,CS 3321 - Software Engineering,C,MATH 2402 - Calculus II,A,CS 3306 - Introduction to Theory of Computation,C,CS 2410 - CS II-Introduction to Data Structures and Algorithms,F,MATH 2401 - Calculus I,D,CS 1410 - CS I-Introduction to Computer Science with C++,A,
Bobbi,Eseler,857-81-5549,Spring 2020,MATH 3302 - Probability and Statistics,D,MATH 2307 - Linear Algebra,A,CS 3321 - Software Engineering,B,MATH 2402 - Calculus II,C,CS 4395 - Senior Project in Computer Science,B,CS 4318 - Database Systems,A,
Nollie,Sange,183-89-6779,Spring 2020,CS 2302 - Digital Logic,F,MATH 2402 - Calculus II,A,CS 4318 - Database Systems,A,MATH 2305 - Discrete Mathematical Structures,A,CS 4303 - Programming Language Concepts,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,
Illa,Garvagh,226-53-3679,Spring 2020,MATH 2307 - Linear Algebra,D,CS 4294 - Senior Seminar,B,STAT 3311 - Statistical Analysis for Natural Science,B,MATH 2307 - Linear Algebra,B,STAT 3311 - Statistical Analysis for Natural Science,D,CS 3304 - Data and Information Structures,A,
Gennie,Solesbury,442-45-9279,Spring 2020,CS 3306 - Introduction to Theory of Computation,F,CS 4294 - Senior Seminar,B,CS 2301 - Introduction to Computer Organization,B,CS 2410 - CS II-Introduction to Data Structures and Algorithms,A,MATH 2402 - Calculus II,A,MATH 3302 - Probability and Statistics,B,
Phyllis,Maryman,284-23-2078,Spring 2020,CS 4294 - Senior Seminar,F,CS 3304 - Data and Information Structures,A,MATH 2402 - Calculus II,A,CS 3304 - Data and Information Structures,B,CS 4315 - Operating Systems,D,CS 4294 - Senior Seminar,B,
Ulrikaumeko,Parnham,863-74-1673,Spring 2020,MATH 2402 - Calculus II,B,MATH 2401 - Calculus I,B,MATH 2401 - Calculus I,B,CS 4395 - Senior Project in Computer Science,B,MATH 2402 - Calculus II,D,MATH 3302 - Probability and Statistics,C,
Barbey,Karolovsky,238-28-7704,Spring 2020,CS 1410 - CS I-Introduction to Computer Science with C++,C,MATH 2307 - Linear Algebra,F,CS 4294 - Senior Seminar,A,CS 3321 - Software Engineering,D,MATH 2401 - Calculus I,F,MATH 2402 - Calculus II,A,
Garik,Ceillier,496-03-6798,Spring 2020,CS 4303 - Programming Language Concepts,B,CS 4303 - Programming Language Concepts,B,CS 2302 - Digital Logic,A,CS 4303 - Programming Language Concepts,C,CS 3321 - Software Engineering,A,CS 4315 - Operating Systems,B,
Eward,Blunn,733-35-6428,Spring 2020,CS 2301 - Introduction to Computer Organization,A,STAT 3311 - Statistical Analysis for Natural Science,F,CS 1410 - CS I-Introduction to Computer Science with C++,D,CS 4294 - Senior Seminar,B,CS 3321 - Software Engineering,B,CS 1410 - CS I-Introduction to Computer Science with C++,C,
Eba,Matcham,231-34-0188,Spring 2020,CS 2302 - Digital Logic,A,CS 2301 - Introduction to Computer Organization,B,MATH 2401 - Calculus I,C,CS 1410 - CS I-Introduction to Computer Science with C++,B,CS 3306 - Introduction to Theory of Computation,B,MATH 2401 - Calculus I,A,
Ashton,Querree,291-35-0990,Spring 2020,CS 4303 - Programming Language Concepts,D,MATH 3302 - Probability and Statistics,B,STAT 3311 - Statistical Analysis for Natural Science,A,CS 3304 - Data and Information Structures,C,MATH 2402 - Calculus II,C,CS 3304 - Data and Information Structures,C,
Rhody,Line,214-27-7578,Spring 2020,STAT 3311 - Statistical Analysis for Natural Science,D,CS 4395 - Senior Project in Computer Science,B,MATH 2401 - Calculus I,A,CS 3321 - Software Engineering,C,MATH 2307 - Linear Algebra,B,CS 4315 - Operating Systems,B,
Gaelan,Tandey,129-52-5441,Spring 2020,MATH 3302 - Probability and Statistics,A,CS 3304 - Data and Information Structures,B,CS 4315 - Operating Systems,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,A,CS 2301 - Introduction to Computer Organization,D,CS 4318 - Database Systems,D,
Shannon,Giddings,572-50-3028,Spring 2020,MATH 3302 - Probability and Statistics,A,MATH 2305 - Discrete Mathematical Structures,F,CS 4315 - Operating Systems,A,CS 4294 - Senior Seminar,B,MATH 2307 - Linear Algebra,A,MATH 2402 - Calculus II,A,
Renell,De Zuani,132-74-8364,Spring 2020,CS 1410 - CS I-Introduction to Computer Science with C++,C,CS 1410 - CS I-Introduction to Computer Science with C++,A,STAT 3311 - Statistical Analysis for Natural Science,D,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,CS 1410 - CS I-Introduction to Computer Science with C++,B,MATH 2305 - Discrete Mathematical Structures,B,
Joell,Glaysher,713-01-9676,Spring 2020,MATH 2305 - Discrete Mathematical Structures,A,MATH 2305 - Discrete Mathematical Structures,B,CS 4315 - Operating Systems,C,CS 4315 - Operating Systems,B,CS 1410 - CS I-Introduction to Computer Science with C++,B,CS 3321 - Software Engineering,A,
Yancey,Cecere,608-83-4943,Spring 2020,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,CS 2301 - Introduction to Computer Organization,F,CS 4395 - Senior Project in Computer Science,B,STAT 3311 - Statistical Analysis for Natural Science,B,CS 4395 - Senior Project in Computer Science,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,
Hersh,Addicott,636-54-6115,Spring 2020,CS 3306 - Introduction to Theory of Computation,B,CS 4294 - Senior Seminar,D,CS 4395 - Senior Project in Computer Science,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,A,STAT 3311 - Statistical Analysis for Natural Science,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,
Ansley,Charlton,366-14-5814,Spring 2020,CS 4315 - Operating Systems,B,MATH 2401 - Calculus I,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,CS 3321 - Software Engineering,D,CS 2301 - Introduction to Computer Organization,B,MATH 2305 - Discrete Mathematical Structures,B,
Gibbie,Peotz,553-93-4351,Spring 2020,CS 4395 - Senior Project in Computer Science,D,CS 3304 - Data and Information Structures,B,CS 1410 - CS I-Introduction to Computer Science with C++,B,CS 4294 - Senior Seminar,C,CS 2302 - Digital Logic,B,CS 4294 - Senior Seminar,A,
Shelly,Allworthy,211-69-5817,Spring 2020,MATH 2401 - Calculus I,F,CS 3321 - Software Engineering,B,CS 2301 - Introduction to Computer Organization,B,CS 2410 - CS II-Introduction to Data Structures and Algorithms,A,CS 4303 - Programming Language Concepts,B,CS 2302 - Digital Logic,B,
Rozanne,Clunie,770-74-5106,Spring 2020,MATH 3302 - Probability and Statistics,F,CS 3306 - Introduction to Theory of Computation,D,MATH 2402 - Calculus II,D,CS 2302 - Digital Logic,F,CS 4318 - Database Systems,A,CS 4395 - Senior Project in Computer Science,C,
Marius,Rassell,874-59-7879,Spring 2020,CS 4318 - Database Systems,B,CS 4395 - Senior Project in Computer Science,B,CS 4303 - Programming Language Concepts,A,CS 3321 - Software Engineering,B,MATH 3302 - Probability and Statistics,D,CS 3306 - Introduction to Theory of Computation,B,
Laura,Lightoller,531-43-5162,Spring 2020,CS 3321 - Software Engineering,D,CS 4318 - Database Systems,A,CS 4318 - Database Systems,A,CS 4318 - Database Systems,B,CS 2301 - Introduction to Computer Organization,C,CS 3306 - Introduction to Theory of Computation,B,
Shina,Petric,496-27-2821,Spring 2020,CS 4303 - Programming Language Concepts,D,CS 3306 - Introduction to Theory of Computation,B,CS 4395 - Senior Project in Computer Science,D,MATH 2401 - Calculus I,B,CS 4303 - Programming Language Concepts,D,CS 3304 - Data and Information Structures,B,
Phoebe,Turrill,171-14-7809,Spring 2020,MATH 3302 - Probability and Statistics,B,CS 4395 - Senior Project in Computer Science,A,CS 2301 - Introduction to Computer Organization,F,MATH 2402 - Calculus II,B,CS 4395 - Senior Project in Computer Science,A,MATH 2305 - Discrete Mathematical Structures,D,
Roseanna,Shillabeer,633-30-9064,Spring 2020,MATH 3302 - Probability and Statistics,A,MATH 2402 - Calculus II,D,CS 4318 - Database Systems,A,CS 1410 - CS I-Introduction to Computer Science with C++,A,CS 2301 - Introduction to Computer Organization,B,CS 4395 - Senior Project in Computer Science,B,
Domenico,Myles,202-22-4644,Spring 2020,MATH 3302 - Probability and Statistics,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,C,STAT 3311 - Statistical Analysis for Natural Science,D,CS 1410 - CS I-Introduction to Computer Science with C++,B,CS 4318 - Database Systems,F,CS 1410 - CS I-Introduction to Computer Science with C++,A,
Maurine,Deas,191-83-9939,Spring 2020,CS 4318 - Database Systems,B,CS 3306 - Introduction to Theory of Computation,A,CS 4294 - Senior Seminar,B,CS 3306 - Introduction to Theory of Computation,C,CS 2302 - Digital Logic,F,MATH 2402 - Calculus II,C,
Carleton,Liddy,528-99-8050,Spring 2020,MATH 2307 - Linear Algebra,B,CS 1410 - CS I-Introduction to Computer Science with C++,A,MATH 3302 - Probability and Statistics,A,CS 3321 - Software Engineering,F,CS 4395 - Senior Project in Computer Science,B,CS 4315 - Operating Systems,A,
Dennison,Nuzzi,269-64-0646,Spring 2020,MATH 2402 - Calculus II,F,CS 2302 - Digital Logic,D,CS 2302 - Digital Logic,B,CS 3304 - Data and Information Structures,C,MATH 2402 - Calculus II,B,CS 2301 - Introduction to Computer Organization,C,
Arley,Kleehuhler,185-34-7132,Spring 2020,MATH 3302 - Probability and Statistics,B,CS 4303 - Programming Language Concepts,A,CS 4294 - Senior Seminar,B,MATH 2402 - Calculus II,C,MATH 2402 - Calculus II,C,CS 4315 - Operating Systems,B,
Brocky,Antoshin,434-82-0795,Spring 2020,CS 4294 - Senior Seminar,D,CS 3306 - Introduction to Theory of Computation,B,STAT 3311 - Statistical Analysis for Natural Science,C,CS 4395 - Senior Project in Computer Science,A,CS 4303 - Programming Language Concepts,B,MATH 3302 - Probability and Statistics,A,
Nesta,Hallet,493-75-2412,Spring 2020,STAT 3311 - Statistical Analysis for Natural Science,A,MATH 3302 - Probability and Statistics,D,MATH 2402 - Calculus II,D,CS 3304 - Data and Information Structures,A,CS 4315 - Operating Systems,D,CS 2301 - Introduction to Computer Organization,B,
Odella,Furniss,713-66-2836,Spring 2020,MATH 3302 - Probability and Statistics,C,CS 4315 - Operating Systems,B,CS 3304 - Data and Information Structures,B,CS 4395 - Senior Project in Computer Science,D,CS 3321 - Software Engineering,B,STAT 3311 - Statistical Analysis for Natural Science,C,
Roderigo,Cardenoza,571-22-2658,Spring 2020,CS 3304 - Data and Information Structures,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,A,CS 2302 - Digital Logic,B,CS 1410 - CS I-Introduction to Computer Science with C++,A,CS 3321 - Software Engineering,B,MATH 2307 - Linear Algebra,A,
Dur,Eunson,358-57-7785,Spring 2020,MATH 2305 - Discrete Mathematical Structures,D,CS 4303 - Programming Language Concepts,D,CS 2301 - Introduction to Computer Organization,F,CS 1410 - CS I-Introduction to Computer Science with C++,D,CS 4294 - Senior Seminar,B,CS 4395 - Senior Project in Computer Science,F,
Tymothy,Meaking,883-80-0092,Spring 2020,CS 2302 - Digital Logic,A,CS 4315 - Operating Systems,A,CS 2302 - Digital Logic,A,CS 2302 - Digital Logic,B,MATH 2401 - Calculus I,A,CS 1410 - CS I-Introduction to Computer Science with C++,A,
Sal,Widdocks,597-74-9619,Spring 2020,CS 2302 - Digital Logic,D,CS 2302 - Digital Logic,B,CS 4315 - Operating Systems,B,CS 3306 - Introduction to Theory of Computation,D,CS 1410 - CS I-Introduction to Computer Science with C++,C,CS 4303 - Programming Language Concepts,C,
Indira,Bauduccio,495-38-2659,Spring 2020,CS 1410 - CS I-Introduction to Computer Science with C++,B,CS 1410 - CS I-Introduction to Computer Science with C++,C,CS 3321 - Software Engineering,B,MATH 2402 - Calculus II,C,MATH 2307 - Linear Algebra,A,CS 3306 - Introduction to Theory of Computation,B,
Broddy,Milksop,458-71-8019,Spring 2020,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,CS 4318 - Database Systems,B,MATH 2307 - Linear Algebra,D,CS 2301 - Introduction to Computer Organization,A,CS 2301 - Introduction to Computer Organization,C,CS 4315 - Operating Systems,B,
Gaby,Swadlen,558-22-5303,Spring 2020,MATH 2307 - Linear Algebra,F,CS 2302 - Digital Logic,C,MATH 2402 - Calculus II,A,CS 2301 - Introduction to Computer Organization,C,MATH 2401 - Calculus I,C,CS 2301 - Introduction to Computer Organization,C,
Temple,Gobbett,721-09-5739,Spring 2020,CS 3306 - Introduction to Theory of Computation,A,MATH 3302 - Probability and Statistics,C,MATH 2402 - Calculus II,A,MATH 2307 - Linear Algebra,A,CS 4395 - Senior Project in Computer Science,B,CS 4395 - Senior Project in Computer Science,A,
Allin,Yurukhin,506-79-1073,Spring 2020,CS 3304 - Data and Information Structures,F,CS 3306 - Introduction to Theory of Computation,F,CS 4395 - Senior Project in Computer Science,D,STAT 3311 - Statistical Analysis for Natural Science,D,CS 2301 - Introduction to Computer Organization,F,CS 3306 - Introduction to Theory of Computation,D,
Portie,Cattell,805-66-7931,Spring 2020,MATH 3302 - Probability and Statistics,C,MATH 2401 - Calculus I,F,CS 3304 - Data and Information Structures,B,MATH 2305 - Discrete Mathematical Structures,C,MATH 2305 - Discrete Mathematical Structures,D,CS 3304 - Data and Information Structures,B,
Perle,Maleney,407-56-4070,Spring 2020,CS 2410 - CS II-Introduction to Data Structures and Algorithms,A,CS 1410 - CS I-Introduction to Computer Science with C++,D,CS 4315 - Operating Systems,D,CS 3304 - Data and Information Structures,A,CS 2410 - CS II-Introduction to Data Structures and Algorithms,C,CS 2302 - Digital Logic,A,
Darsie,Wartonby,386-84-7660,Spring 2020,CS 3304 - Data and Information Structures,A,CS 3306 - Introduction to Theory of Computation,D,CS 2410 - CS II-Introduction to Data Structures and Algorithms,A,CS 4318 - Database Systems,F,CS 4395 - Senior Project in Computer Science,A,MATH 2307 - Linear Algebra,B,
Tallia,Largan,107-33-9164,Spring 2020,CS 2410 - CS II-Introduction to Data Structures and Algorithms,D,CS 4315 - Operating Systems,C,MATH 2401 - Calculus I,B,CS 4315 - Operating Systems,C,CS 4315 - Operating Systems,A,CS 2302 - Digital Logic,C,
Hilda,Devonish,529-35-0868,Spring 2020,MATH 3302 - Probability and Statistics,A,CS 3304 - Data and Information Structures,D,CS 2302 - Digital Logic,D,MATH 2401 - Calculus I,A,CS 3321 - Software Engineering,C,CS 4315 - Operating Systems,A,
Augustine,Snelson,216-65-7601,Spring 2020,MATH 3302 - Probability and Statistics,F,CS 4318 - Database Systems,C,CS 2410 - CS II-Introduction to Data Structures and Algorithms,B,CS 3304 - Data and Information Structures,C,CS 2301 - Introduction to Computer Organization,A,CS 3306 - Introduction to Theory of Computation,A,
Lem,Flexman,549-82-4608,Spring 2020,STAT 3311 - Statistical Analysis for Natural Science,A,MATH 2401 - Calculus I,B,MATH 2305 - Discrete Mathematical Structures,A,CS 4395 - Senior Project in Computer Science,C,CS 4303 - Programming Language Concepts,B,MATH 3302 - Probability and Statistics,B,
Debbi,Silverlock,543-92-3570,Spring 2020,MATH 2401 - Calculus I,F,CS 3321 - Software Engineering,A,CS 3321 - Software Engineering,D,CS 4303 - Programming Language Concepts,B,MATH 2305 - Discrete Mathematical Structures,B,MATH 2401 - Calculus I,C,
Darsie,Dominighi,280-28-1323,Spring 2020,CS 2301 - Introduction to Computer Organization,C,CS 4294 - Senior Seminar,D,CS 3306 - Introduction to Theory of Computation,C,CS 4318 - Database Systems,A,CS 4318 - Database Systems,F,CS 1410 - CS I-Introduction to Computer Science with C++,B,
Alidia,McGilvray,636-22-3677,Spring 2020,CS 4294 - Senior Seminar,B,MATH 2401 - Calculus I,A,STAT 3311 - Statistical Analysis for Natural Science,B,CS 2302 - Digital Logic,A,CS 4303 - Programming Language Concepts,A,MATH 2402 - Calculus II,A,
Diena,Haxby,851-38-2040,Spring 2020,CS 3304 - Data and Information Structures,F,MATH 2307 - Linear Algebra,D,MATH 2307 - Linear Algebra,C,CS 3321 - Software Engineering,A,CS 4395 - Senior Project in Computer Science,A,CS 3306 - Introduction to Theory of Computation,B,
